customer_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,dti,revolving_utilization,credit_score,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
CUST-10000,58,50250,OWN,7.6,EDUCATION,D,18266,17.44,0.364,20.26,70.93,653,Y,35,0
CUST-10001,48,91335,RENT,8.8,HOMEIMPROVEMENT,C,9704,12.77,0.106,16.5,65.5,651,N,28,0
CUST-10002,34,59913,MORTGAGE,10.0,MEDICAL,D,9165,16.79,0.153,19.27,61.66,617,N,14,1
CUST-10003,62,118995,RENT,4.2,PERSONAL,B,4897,10.24,0.041,4.69,69.97,664,N,35,0
CUST-10004,27,27006,RENT,9.0,MEDICAL,B,20701,10.64,0.767,29.84,54.79,658,N,5,1
CUST-10005,40,53186,RENT,,HOMEIMPROVEMENT,B,9227,11.4,0.173,16.05,35.56,705,N,18,0
CUST-10006,58,51569,RENT,4.7,MEDICAL,A,12327,7.11,0.239,26.54,59.68,750,N,35,1
CUST-10007,38,25808,RENT,7.1,PERSONAL,C,3756,11.51,0.146,18.18,50.98,593,N,17,1
CUST-10008,42,87009,OTHER,2.8,MEDICAL,D,5845,17.21,0.067,8.71,40.44,643,N,21,1
CUST-10009,30,197758,MORTGAGE,0.4,DEBTCONSOLIDATION,D,4655,17.79,0.024,21.36,29.25,612,N,8,0
CUST-10010,30,48523,MORTGAGE,2.2,VENTURE,B,10934,8.46,0.225,14.13,99.56,682,N,11,0
CUST-10011,43,66370,RENT,4.9,VENTURE,B,2911,10.46,0.044,9.35,83.98,670,N,24,0
CUST-10012,55,51570,MORTGAGE,1.1,HOMEIMPROVEMENT,D,11082,15.38,0.215,25.4,84.95,636,N,35,1
CUST-10013,59,31947,RENT,0.8,PERSONAL,C,10792,14.85,0.338,10.54,60.46,626,N,35,0
CUST-10014,43,16441,RENT,,MEDICAL,D,2162,17.92,0.132,19.56,100.0,618,Y,22,1
CUST-10015,22,32097,RENT,0.2,EDUCATION,C,10509,12.53,0.327,18.02,61.91,644,N,3,0
CUST-10016,41,21265,RENT,6.8,PERSONAL,D,6325,14.92,0.297,31.04,81.12,591,Y,19,1
CUST-10017,21,136279,RENT,1.5,EDUCATION,A,21160,7.79,0.155,13.45,58.81,705,N,2,0
CUST-10018,43,45749,MORTGAGE,0.7,HOMEIMPROVEMENT,C,11700,12.17,0.256,41.05,47.88,696,N,24,0
CUST-10019,63,39832,MORTGAGE,6.0,PERSONAL,A,6224,,0.156,9.65,52.24,715,N,35,0
CUST-10020,49,83574,RENT,9.3,EDUCATION,C,8451,13.34,0.101,10.68,98.23,620,N,28,0
CUST-10021,57,25007,RENT,0.1,EDUCATION,C,13053,15.43,0.522,27.04,56.56,697,N,35,1
CUST-10022,21,30942,RENT,1.3,PERSONAL,A,2488,9.48,0.08,3.01,31.9,746,N,3,0
CUST-10023,40,51064,OWN,14.5,MEDICAL,B,7751,12.36,0.152,13.05,85.69,711,N,20,0
CUST-10024,52,90876,MORTGAGE,2.4,VENTURE,A,12687,7.98,0.14,25.87,30.5,803,N,34,0
CUST-10025,31,66238,MORTGAGE,13.0,PERSONAL,A,6735,,0.102,8.42,47.54,802,N,9,0
CUST-10026,41,56896,OWN,1.6,PERSONAL,A,10470,5.72,0.184,13.71,73.55,731,N,22,0
CUST-10027,63,51373,RENT,1.2,VENTURE,B,7498,11.21,0.146,17.33,73.94,740,N,35,0
CUST-10028,44,62326,OTHER,1.2,MEDICAL,A,2277,8.3,0.037,7.52,88.27,694,N,22,0
CUST-10029,68,55325,RENT,0.4,VENTURE,A,11114,7.81,0.201,9.51,45.44,688,Y,35,0
CUST-10030,46,26423,RENT,11.3,EDUCATION,A,15495,5.91,0.586,30.11,71.26,752,N,26,0
